ID,topic,premise,conclusion,validity_101,validity_102,validity_103,validity_111,validity_112,novelty_101,novelty_102,novelty_103,novelty_111,novelty_112
test_1#T5+topic+specific+generic+inf_best_beam_prediction,Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",Terrorists are ticking time bombs., -1, -1, -1,,, -1, -1, -1,,
test_1#T5smooth+topic_best_beam_prediction,Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",Terrorists can be safely tortured, -1, -1, 0,,, -1, -1, 1,,
test_1#T5_best_beam_prediction,Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",Pain of torture is worth suffering, -1, 1, -1,,, -1, 1, 1,,
test_1#T5_ground_truth,Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",The infliction of mere pain on an evil-minded terrorist to save millions of innocent lives is an ethical, -1, 1, -1,,, 1, 1, -1,,
test_1#_random_conclusion,Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",The war in Libya is not illegal under international law, -1, -1, 0,,, -1, -1, 1,,
test_1012#T5cherryfsmooth+topic+specific+inf_selected_prediction,Withdrawing from Iraq,"America and its allies should never have invaded Iraq in the first place. Claims that Saddam Hussein was linked to Al-Qaeda, and that he possessed weapons of mass destruction have both turned out to be incorrect, at best, and lies at worse. The war was an illegal act of aggression, without United Nations sanction, and the occupation is therefore also illegal. For this reason alone the coalition should remove its forces from Iraq as soon as possible.",The US should never have invaded Iraq., 1,, 1,, 1, -1,, 1,, -1
test_1012#T5cherrysmooth+topic+specific+generic_selected_prediction,Withdrawing from Iraq,"America and its allies should never have invaded Iraq in the first place. Claims that Saddam Hussein was linked to Al-Qaeda, and that he possessed weapons of mass destruction have both turned out to be incorrect, at best, and lies at worse. The war was an illegal act of aggression, without United Nations sanction, and the occupation is therefore also illegal. For this reason alone the coalition should remove its forces from Iraq as soon as possible.",The invasion of Iraq was illegal; the occupation is illegal., 1,, 1,, 1, 1,, -1,, -1
test_1012#T5cherrysmooth+topic_selected_prediction,Withdrawing from Iraq,"America and its allies should never have invaded Iraq in the first place. Claims that Saddam Hussein was linked to Al-Qaeda, and that he possessed weapons of mass destruction have both turned out to be incorrect, at best, and lies at worse. The war was an illegal act of aggression, without United Nations sanction, and the occupation is therefore also illegal. For this reason alone the coalition should remove its forces from Iraq as soon as possible.",The invasion of Iraq was illegal; a withdrawal is justified., 1,, 1,, 1, 1,, 1,, 1
test_1012#T5smooth+topic+specific+generic_best_beam_prediction,Withdrawing from Iraq,"America and its allies should never have invaded Iraq in the first place. Claims that Saddam Hussein was linked to Al-Qaeda, and that he possessed weapons of mass destruction have both turned out to be incorrect, at best, and lies at worse. The war was an illegal act of aggression, without United Nations sanction, and the occupation is therefore also illegal. For this reason alone the coalition should remove its forces from Iraq as soon as possible.",The invasion of Iraq is illegal and should be stopped., 1,, 1,, 1, 1,, 1,, -1
test_1012#T5smooth+topic_best_beam_prediction,Withdrawing from Iraq,"America and its allies should never have invaded Iraq in the first place. Claims that Saddam Hussein was linked to Al-Qaeda, and that he possessed weapons of mass destruction have both turned out to be incorrect, at best, and lies at worse. The war was an illegal act of aggression, without United Nations sanction, and the occupation is therefore also illegal. For this reason alone the coalition should remove its forces from Iraq as soon as possible.",The invasion of Iraq was illegal and should not be continued, 1,, 1,, 1, 1,, 1,, 1
test_1013#T5+topic+gen_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",The UN should not continue to support Iraq, -1, -1,, -1,, -1, 1,, 1,
test_1013#T5+topic+inf_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",The United States should withdraw from Iraq on January 2009, -1, 1,, -1,, -1, 1,, -1,
test_1013#T5+topic+is_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",Withdrawing from Iraq would violate UN authorization, -1, -1,, -1,, 1, 1,, 1,
test_1013#T5+topic+specific+generic+inf_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",The U.N. has given Iraq the legal legitimacy it needs, -1, -1,, -1,, -1, 1,, 1,
test_1013#T5+topic+specific+generic_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",The UN has the legal authority to remain in Iraq, 1, -1,, -1,, 1, 1,, 1,
test_1013#T5+topic+specific+inf_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",Withdrawing from Iraq would undermine its legitimacy., -1, -1,, -1,, -1, 1,, 1,
test_1013#T5+topic_best_beam_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",Withdrawing from Iraq undermines UN legitimacy, -1, -1,, -1,, 1, 1,, 1,
test_1013#T5cherry+topic+gen_selected_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",Withdrawing from Iraq would violate international law, -1, -1,, -1,, -1, 1,, 1,
test_1013#T5cherryfsmooth+topic+gen_selected_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",Withdrawing from Iraq would invalidate UN's legitimacy, -1, -1,, -1,, -1, 1,, -1,
test_1013#T5cherryfsmooth+topic+is_selected_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.",Withdrawing from Iraq would undermine UN legitimacy, 1, -1,, 1,, 1, 1,, 1,
test_1013#T5cherryfsmooth+topic+specific+generic_selected_prediction,Withdrawing from Iraq,"The UN has authorized the continued presence of coalition forces in Iraq. But, if it lets its current authorization expire on January 1, 2009 - as it is scheduled to - than it will have fully lost authorization and international legal legitimacy in Iraq, and should leave.","If Iraq's current authorization expires on January 1, 2009 the UN has no legitimacy", -1, -1,, -1,, -1, 1,, 1,
