unit_id,text,concreteness_1,concreteness_2,concreteness_3,concreteness_4,concreteness_5,avg_concreteness,url
B1593_2,"Hier wäre eine breite Einmündung ohne Bordsteinkante und Poller von Vorteil, eine Vorfahrt für Radfahrer*innen sinvoll, da dies eine stark befahrene Pendlerstrecke ist.",2,2,2,2,2,2,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radweg-trifft-auf-strasse
B1594_1,Engstelle führt direkt auf Gleise,0,1,2,1,0,1,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/engstelle-fuehrt-direkt-auf-gleise
B1594_3,Die Anbindung an das Beueler Zentrum auch wenig angenehm zu fahren durch die Obere Wilhelmsstraße.,1,1,1,1,1,1,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/engstelle-fuehrt-direkt-auf-gleise
B1595_2,Eventuell würden Spiegel oder eine bessere Sicht die Situation entschärfen.,1,2,2,1,1,1,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/gefaehrliche-einmuendung
B1596_2,"Wegen der Straßenbahnschienen ist das Radfahren auf der Friedrich-Breuer-Straße sehr gefahrenträchtig. Wenn man die Geschäfte erreichen will, ist es leider nicht möglich auf die Nebenstraßen auszuweichen.",2,1,2,2,2,2,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwege-neben-den-gleisen
B1596_3,"Würden die Parkplätze entlang der Friedrich-Breuer-Straße entfernt, würde genug Platz für Radschutzstreifen neben den Gleisen entstehen.",2,2,2,2,2,2,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radwege-neben-den-gleisen
B1597_1,Radverbindung in der Innenstadt,1,0,1,0,1,1,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/radverbindung-der-innenstadt
B1598_1,Ampel auf Radweg,0,0,0,0,0,0,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ampel-auf-radweg
B1598_2,Schwierige Situation. Sollen Radler*innen hier wirklich warten müssen? Der Fußgänger*innenverkehr hält sich in Grenzen.,0,1,0,1,1,1,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ampel-auf-radweg
B1599_1,Parken in zweiter Reihe,1,1,1,1,1,1,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ampel-auf-radweg
B1599_2,"Auf der Prinz-Albert-Straße parken regelmäßig Autos in zweiter Reihe. Als Fahrradfahrer muss man in diesem Fall in den Gleisbereich der Straßenbahn ausweichen, was nicht ungefährlich ist.",2,2,2,2,2,2,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/ampel-auf-radweg
B1601_1,Auffahrt auf den Südbrücke vom Rhein,1,2,2,1,1,1,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/auffahrt-auf-den-suedbruecke-vom-rhein-0
B1601_2,Genauso wie an der Nordbrücke kann direkt vom Rheinuferweg ein Weg bzw. eine Auffahrt für den Radverkehr geschaffen werden. Das würde den unschönen und lauten Umweg entlang der sehr langen Vorlandbrücke abkürzen und den Zugang zum Rheinufer erleichtern.,2,2,2,2,2,2,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/auffahrt-auf-den-suedbruecke-vom-rhein-0
B1602_1,Fahrradweg fast immer zugeparkt,1,1,1,1,2,1,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradweg-fast-immer-zugeparkt
B1602_2,An dieser Stelle wird der Fahrradweg von der Straße auf den Gehweg geführt (in beide Richtungen). In beide Richtungen ist hier der Radweg fast jeden Tag durch PKW zugeparkt.,2,2,2,2,2,2,https://www.raddialog.bonn.de/dialoge/bonner-rad-dialog/fahrradweg-fast-immer-zugeparkt
